--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
77   1  1  0  0  1  1  0  0  1  0  1  0  0  1  0  0  1  1  0  0  0  1  1  0  0  0  1  0  0  1  0  1  1  1  0  0  1  1  0  0  -325.0       1     0.0
78   0  0  1  1  0  1  0  0  1  0  1  0  1  1  1  1  0  0  0  0  1  0  1  1  1  1  1  0  0  0  1  1  0  0  1  1  0  0  0  1  -325.0       1     0.0
79   1  0  0  0  1  1  0  0  1  0  1  0  1  1  0  0  0  1  0  0  0  0  1  0  0  0  1  0  1  0  1  1  0  1  1  1  1  1  1  1  -325.0       1     0.0
80   1  0  0  1  0  1  1  0  0  0  1  1  1  1  0  1  1  0  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  1  1  0  1  0  0  0  -325.0       1     0.0
81   0  1  1  1  1  1  0  0  1  0  1  0  1  1  0  1  1  1  1  0  0  0  1  0  0  0  1  1  1  0  0  1  0  0  1  0  1  1  1  0  -325.0       1     0.0
82   0  1  0  0  0  0  1  1  1  1  0  0  1  1  1  1  1  1  1  0  1  0  0  1  1  0  1  0  0  0  0  1  1  1  0  0  0  0  1  0  -325.0       1     0.0
83   0  1  0  0  0  1  1  1  0  1  0  0  1  0  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  1  0  1  0  1  1  0  1  0  0  -325.0       1     0.0
84   1  1  0  0  1  1  0  1  1  1  1  1  1  1  0  0  0  1  1  0  1  0  1  0  0  0  1  1  1  0  0  0  0  1  0  0  1  0  1  0 -324.75       1     0.0
85   1  0  0  1  0  1  1  0  1  1  1  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  0  0  0  0  1  0  0  1  0  0  1  1  1  0 -324.75       1     0.0
86   1  0  0  1  0  1  0  0  1  0  1  1  0  1  0  0  0  1  0  0  1  1  1  0  0  0  1  0  0  1  1  1  0  0  0  1  1  1  1  0 -324.75       1     0.0
87   1  1  0  1  0  1  0  0  1  1  1  0  1  1  0  1  0  1  0  0  1  1  0  0  0  1  1  1  0  1  1  0  0  0  0  0  1  1  0  1 -324.75       1     0.0
88   0  1  0  1  0  1  1  1  1  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0  1  1  0  1  1  0  1  0  0  1  0  0  0  0 -324.75       1     0.0
89   0  1  0  1  0  0  1  1  0  1  0  0  0  1  1  0  1  1  0  0  1  0  0  1  1  0  1  1  1  1  1  0  1  0  1  1  0  1  0  0 -324.75       1     0.0
90   0  1  0  1  0  1  0  1  1  0  1  1  1  1  0  0  1  0  0  0  1  0  0  1  0  0  1  1  1  1  1  0  0  0  1  1  0  0  0  0 -324.75       1     0.0
91   1  0  0  1  1  1  0  1  0  0  1  0  0  1  1  1  0  1  1  0  0  1  1  1  1  1  0  1  0  0  0  0  0  0  1  1  1  0  0  1 -324.75       1     0.0
317  1  0  1  1  0  1  0  1  0  0  1  0  0  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  0  0  0  1  1  0  1  0  1  0  1  1 -324.75       1   0.025
351  1  0  1  0  1  1  0  0  0  1  0  0  0  1  0  1  0  1  0  0  0  1  1  0  0  0  1  1  1  1  0  1  1  0  1  1  1  1  0  1 -324.75       1   0.025
357  1  0  1  1  1  1  0  0  0  1  0  0  0  0  1  1  0  1  1  0  0  1  1  0  0  0  1  0  0  1  1  1  1  0  0  0  1  1  1  1 -324.75       1   0.025
92   0  1  1  0  0  1  0  0  0  0  0  0  1  1  0  1  1  1  0  1  1  1  0  1  0  1  1  1  0  1  0  1  1  0  1  0  1  0  0  0  -324.0       1     0.0
93   1  0  0  0  0  1  0  1  1  1  1  0  0  0  0  0  0  1  0  0  1  1  1  0  0  0  1  1  1  0  1  0  0  0  0  1  1  1  0  1  -324.0       1     0.0
