--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39  energy num_oc. chain_.
99   0  0  1  1  1  0  0  0  1  1  1  1  1  0  0  1  1  0  1  0  1  0  0  1  1  0  1  1  0  1  0  0  1  0  0  0  1  0  1  1 -201.75       1     0.0
100  0  0  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  0  0  1  0  0  0  1  0  1  1  0  1  0  1  1  0  1  0  1  0  1  1 -201.75       1     0.0
101  0  0  0  0  1  1  1  0  0  1  1  0  1  0  0  0  1  0  1  0  1  0  1  0  0  1  1  1  0  1  0  1  0  1  1  0  0  1  1  0 -201.75       1     0.0
102  0  0  1  0  1  1  0  0  0  1  0  1  0  0  0  1  0  1  0  1  0  1  1  1  0  1  0  1  0  0  1  0  1  0  1  1  1  1  1  1 -201.75       1     0.0
103  1  0  0  0  1  1  1  1  1  1  0  1  0  1  1  0  1  0  1  0  1  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  0  1  0  0 -201.75       1     0.0
104  0  0  0  0  1  0  0  0  1  1  1  1  1  0  1  1  1  0  1  0  1  0  1  1  0  1  1  1  0  1  1  1  0  0  0  0  0  0  0  0 -201.75       1     0.0
105  0  0  0  0  1  0  0  0  0  1  1  1  1  0  0  0  1  0  1  0  1  0  1  0  0  0  1  1  1  1  1  1  0  0  1  0  0  1  1  1 -201.75       1     0.0
106  1  1  1  0  0  0  1  1  1  0  1  1  0  1  0  0  0  1  0  1  0  1  0  1  0  1  0  0  0  1  1  0  0  0  1  1  1  0  1  1 -201.75       1     0.0
107  0  0  0  1  1  0  1  0  1  0  0  0  0  0  1  1  1  1  0  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  1  1  1  0  1  0 -201.75       1     0.0
108  0  0  1  0  1  0  0  1  1  1  1  1  1  0  1  0  1  0  1  0  0  0  1  1  0  1  1  1  0  1  1  0  0  0  0  0  1  1  0  1 -201.75       1     0.0
309  1  0  1  0  0  1  1  0  1  1  1  1  1  0  1  0  1  0  0  1  0  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  0  0 -201.75       1   0.025
312  0  0  0  1  1  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  1  0  1  0  1  0  1  1  1  1  0  1  0  1  1  0  0  0  0  1 -201.75       1   0.025
326  0  0  0  0  0  0  1  1  0  1  1  0  1  1  0  0  1  1  0  1  1  0  0  1  1  1  0  1  0  1  0  1  1  1  1  0  1  0  0  1 -201.75       1   0.025
349  0  0  0  1  0  1  1  0  0  1  0  0  1  0  1  1  1  0  1  0  1  0  0  0  1  0  1  1  1  1  0  1  1  1  0  1  0  0  0  0 -201.75       1   0.025
109  0  1  0  1  1  0  1  1  1  0  0  1  0  0  0  0  1  1  0  0  1  0  0  1  0  1  1  1  1  1  0  0  1  0  1  1  0  1  1  1  -201.0       1     0.0
