--------------- DW_2000Q_6 ---------------
    0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
329  0  1  0  0  0  1  0  0  1  1  0  1  0  1  0  0  0  0  0  1  1  1  0  1  1  1  0  1  1  1 -245.25       1 0.033333
345  0  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  1  1  0  0  0  1  1  0  0  1  0 -245.25       1 0.033333
358  0  1  1  0  1  0  1  1  0  0  0  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -245.25       1 0.033333
72   0  1  0  0  1  0  0  1  1  0  1  0  1  1  0  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  -245.0       1      0.0
73   1  1  0  1  1  0  1  0  0  1  0  1  1  0  0  1  1  0  1  0  0  1  0  1  0  1  1  0  0  1  -245.0       1      0.0
74   0  1  0  0  0  1  0  0  1  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  1  1  1  1  1  0  -245.0       1      0.0
75   0  1  0  1  1  1  0  0  0  0  0  1  1  0  1  0  0  0  0  1  1  1  0  0  1  1  0  1  1  0  -245.0       1      0.0
76   0  1  0  0  1  0  0  0  0  1  0  0  1  0  0  1  0  0  1  1  1  1  1  1  1  0  0  1  1  0  -245.0       1      0.0
77   0  1  0  0  1  0  0  0  0  0  0  1  1  0  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0  -245.0       1      0.0
78   0  1  0  0  1  0  0  1  0  0  0  0  1  0  1  1  0  0  0  1  1  1  0  1  1  0  0  1  1  1  -245.0       1      0.0
79   0  1  0  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  0  1  1  1  0  1  0  1  0  0  1  0  -245.0       1      0.0
80   0  1  0  0  1  1  0  0  1  0  1  1  0  1  1  0  0  1  1  1  1  1  0  1  0  0  0  1  1  0  -245.0       1      0.0
81   0  1  1  1  0  1  0  0  1  0  0  1  0  0  1  0  0  0  0  1  1  0  0  1  0  1  1  1  1  0  -245.0       1      0.0
249  0  1  1  1  1  0  0  0  1  0  0  0  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -245.0       1 0.033333
250  0  1  0  0  1  1  0  0  0  0  1  0  1  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0  -245.0       1 0.033333
306  0  1  1  1  1  0  0  0  1  0  1  0  1  1  1  0  0  0  0  1  0  1  0  1  1  0  0  1  1  1  -245.0       1 0.033333
308  0  1  1  1  1  0  0  1  1  0  1  0  0  1  1  0  0  0  0  1  1  0  1  0  1  1  0  1  1  0  -245.0       1 0.033333
327  0  1  1  1  1  0  0  0  1  0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  -245.0       1 0.033333
337  0  1  1  1  1  0  0  0  1  0  0  1  1  0  1  1  0  0  0  1  1  1  0  1  0  0  0  1  1  1  -245.0       1 0.033333
338  0  1  1  0  0  0  0  1  1  1  1  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -245.0       1 0.033333
348  0  1  1  0  0  0  0  1  0  0  1  1  1  0  1  0  0  0  1  1  1  1  0  1  1  1  0  1  1  0  -245.0       1 0.033333
412  0  1  0  0  0  1  0  0  1  0  1  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -245.0       1 0.066667
471  0  1  1  1  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0  -245.0       1 0.066667
82   0  1  0  0  1  0  1  0  0  0  1  1  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -244.25       1      0.0
83   1  1  0  0  1  0  0  0  0  0  1  0  1  0  1  1  0  0  0  1  1  1  0  1  1  0  1  1  1  0 -244.25       1      0.0
84   0  1  1  0  0  1  0  0  1  0  1  1  0  1  1  0  0  1  0  1  1  1  0  1  0  0  0  1  1  0 -244.25       1      0.0
85   0  1  1  0  0  0  0  0  1  1  0  1  0  0  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0 -244.25       1      0.0
86   0  1  0  0  0  1  0  0  1  0  1  1  0  0  1  0  0  0  1  1  1  1  0  1  0  1  0  1  1  1 -244.25       1      0.0
87   0  1  0  1  0  1  1  0  0  0  0  1  1  0  1  0  0  0  1  1  1  1  0  0  1  1  0  1  1  0 -244.25       1      0.0
88   0  1  0  0  0  1  0  0  1  0  0  1  0  1  0  0  0  1  1  1  1  1  1  1  1  0  0  1  1  0 -244.25       1      0.0
89   0  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  0  1  0  1  1  0  0  1  1  0  0  1  1  0 -244.25       1      0.0
90   0  1  0  1  1  1  1  0  0  0  0  0  1  0  1  0  0  1  1  1  1  0  0  1  1  0  0  1  1  0 -244.25       1      0.0
91   0  1  1  0  0  1  0  0  1  1  0  1  0  0  0  1  1  0  1  1  1  0  1  1  0  1  0  1  0  0 -244.25       1      0.0
92   1  0  0  0  0  0  1  0  0  1  1  1  0  1  0  0  0  0  1  1  1  1  0  1  0  1  1  1  1  0 -244.25       1      0.0
201  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  1  0  0  0  1  1  1  0  1  1  0  1  1  1  0 -244.25       1 0.033333
255  0  1  0  0  0  1  0  0  1  0  1  1  1  0  1  0  0  0  1  1  1  1  0  1  1  0  0  1  1  0 -244.25       1 0.033333
271  0  1  0  0  0  1  0  0  1  0  0  0  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  0 -244.25       1 0.033333
287  0  1  1  1  1  0  0  0  1  0  1  0  0  1  1  1  0  1  1  1  1  1  0  1  0  0  0  1  1  0 -244.25       1 0.033333
312  0  1  1  0  1  0  0  0  1  0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  1  0  1  1  1  0 -244.25       1 0.033333
317  0  1  1  1  0  1  0  1  0  0  1  0  0  1  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1 -244.25       1 0.033333
351  0  1  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1 -244.25       1 0.033333
368  0  1  1  1  1  0  0  1  1  1  0  0  0  1  0  1  0  0  0  1  1  0  0  1  1  0  0  1  1  0 -244.25       1 0.033333
387  0  1  0  0  1  1  0  1  1  0  1  0  0  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  1 -244.25       1 0.033333
404  0  1  0  0  0  1  0  0  0  1  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  0  0  1  1  0 -244.25       1 0.033333
423  0  1  1  0  0  1  0  0  1  0  0  1  0  0  1  0  0  1  1  1  1  1  0  1  1  0  0  1  1  0 -244.25       1 0.066667
426  0  1  1  1  1  0  0  0  1  0  1  1  0  1  1  0  0  1  0  1  1  0  0  1  1  0  0  0  1  0 -244.25       1 0.066667
442  0  1  0  0  1  1  0  0  0  0  1  1  1  0  1  0  0  1  0  1  1  1  0  1  1  0  0  1  1  0 -244.25       1      0.1
482  0  1  1  0  0  0  0  0  0  0  1  1  1  1  1  0  0  0  0  1  1  1  0  1  1  1  0  1  1  0 -244.25       1 0.066667
93   0  1  0  1  1  1  0  1  1  0  1  0  1  1  1  0  0  0  0  1  1  0  0  1  1  0  0  1  1  0  -244.0       1      0.0
94   0  1  0  0  0  0  0  0  1  0  0  1  1  0  0  1  0  1  1  1  1  1  0  1  1  0  0  1  1  0  -244.0       1      0.0
95   0  0  0  0  0  1  0  0  1  0  0  1  0  1  0  0  1  0  1  1  0  1  1  1  0  1  1  1  1  0  -244.0       1      0.0
96   0  1  1  0  0  1  0  0  1  0  1  0  0  1  1  1  0  1  0  1  1  0  0  1  1  0  0  0  1  0  -244.0       1      0.0
98   0  1  0  0  0  0  0  0  1  1  0  1  1  0  0  0  1  0  1  1  1  1  0  1  1  0  0  1  1  0  -244.0       1      0.0
99   0  1  1  0  0  1  0  0  1  0  0  1  0  1  1  1  0  1  0  1  1  1  0  1  0  1  0  1  1  0  -244.0       1      0.0
100  0  1  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  1  1  1  1  1  1  1  0  1  1  1  -244.0       1      0.0
101  1  1  0  0  0  1  0  0  0  1  0  0  1  1  0  0  0  0  1  1  1  1  0  1  0  1  1  1  1  1  -244.0       1      0.0
