--------------- DW_2000Q_6 ---------------
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29  energy num_oc. chain_b.
148  1  0  1  0  1  0  1  1  0  1  1  0  0  0  1  1  1  0  0  0  0  1  0  0  0  1  0  1  0  1  -121.0       1      0.0
149  0  0  1  1  0  0  0  0  0  1  0  1  1  0  1  1  1  1  0  1  1  0  0  1  1  0  0  1  1  1  -121.0       1      0.0
150  1  1  0  1  1  0  1  0  0  1  0  1  1  0  1  0  0  1  0  0  0  1  1  0  0  1  1  1  0  1  -121.0       1      0.0
151  0  0  0  1  0  1  1  0  0  1  0  1  1  0  1  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  -121.0       1      0.0
152  0  0  0  1  1  0  0  0  0  1  1  1  1  0  1  0  1  1  1  1  0  0  1  0  0  1  0  1  0  1 -120.25       1      0.0
153  1  0  0  1  1  1  1  0  0  1  1  0  1  0  1  0  1  1  1  1  0  0  1  0  0  1  0  0  0  0 -120.25       1      0.0
154  0  0  1  0  1  1  0  0  1  0  0  0  0  0  1  1  0  1  1  1  1  1  0  1  0  1  1  0  0  1 -120.25       1      0.0
155  0  0  1  0  1  0  1  0  0  1  0  1  0  1  1  1  1  1  1  0  0  0  0  0  0  1  1  1  0  1 -120.25       1      0.0
156  1  0  0  1  0  0  0  0  0  0  0  1  1  0  1  1  1  1  1  1  0  0  1  1  0  1  0  1  0  1 -120.25       1      0.0
157  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  1  0  1  0  1  1  1  0  1  0  0  1  0  0  1 -120.25       1      0.0
158  0  1  0  1  0  1  0  0  0  1  1  0  1  0  1  1  1  0  1  0  0  1  1  1  0  0  0  1  1  0 -120.25       1      0.0
159  0  0  1  0  1  1  1  1  1  0  1  0  0  0  0  1  0  0  0  1  1  1  0  0  0  0  0  0  1  1 -120.25       1      0.0
160  0  1  0  1  0  1  0  0  0  1  0  1  1  0  1  0  0  1  1  0  1  0  0  1  0  1  1  1  0  1 -120.25       1      0.0
161  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  1  0  1  0  1  1  1  0  0  0  1  1  0  0  1 -120.25       1      0.0
162  0  0  1  0  1  1  0  1  1  0  0  1  0  1  0  1  1  1  0  0  0  0  0  1  0  1  1  0  1  1 -120.25       1      0.0
163  0  1  0  0  1  1  1  0  0  0  1  0  0  0  1  1  0  0  1  0  1  1  1  0  0  1  1  1  0  1 -120.25       1      0.0
164  1  1  1  0  1  1  0  0  0  0  1  0  0  0  1  1  0  1  0  0  1  1  1  0  0  1  1  0  0  1 -120.25       1      0.0
165  0  0  1  0  0  0  1  1  0  1  0  0  1  1  1  1  1  0  0  0  0  1  0  0  1  1  1  1  0  1 -120.25       1      0.0
166  1  1  0  1  0  0  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  1  1  1  1  1  1  0  0 -120.25       1      0.0
167  0  1  0  1  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  0  0  0  0  0  0  1  1  1  1  1 -120.25       1      0.0
168  1  1  0  1  0  0  1  0  0  0  0  1  1  1  0  0  0  1  1  0  0  0  1  1  0  0  1  1  1  1 -120.25       1      0.0
169  0  1  0  0  1  1  0  0  1  0  0  1  1  0  1  0  0  1  1  1  1  0  1  1  0  1  1  1  1  0 -120.25       1      0.0
170  0  0  1  0  1  1  0  1  1  0  0  1  0  1  1  1  1  1  0  1  1  0  0  0  0  0  0  0  1  1 -120.25       1      0.0
171  0  0  0  1  0  0  1  0  0  1  0  1  1  1  1  0  1  0  1  0  0  0  1  0  1  1  0  1  1  1 -120.25       1      0.0
172  0  1  0  0  0  1  1  0  0  0  1  0  1  0  1  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1 -120.25       1      0.0
173  0  0  1  0  1  1  0  1  0  0  0  0  0  1  1  1  0  0  0  1  1  1  0  0  0  1  1  0  0  1 -120.25       1      0.0
174  1  1  0  0  1  1  0  0  0  0  0  0  1  0  1  1  1  1  0  0  0  1  1  1  0  0  1  1  0  1 -120.25       1      0.0
452  0  1  1  0  1  1  0  0  1  0  1  0  0  0  1  1  1  0  0  0  0  1  1  0  0  1  1  1  0  1 -120.25       1 0.033333
175  0  0  1  1  1  0  0  0  0  0  0  1  1  0  1  1  1  1  1  0  0  0  0  1  0  0  1  1  0  1  -120.0       1      0.0
176  1  0  0  1  0  0  0  0  0  1  0  1  1  0  1  1  0  1  1  0  0  0  1  1  1  0  1  1  0  0  -120.0       1      0.0
177  0  0  0  1  0  0  1  0  0  1  0  1  1  1  1  1  1  1  1  1  0  0  0  0  1  0  0  1  0  0  -120.0       1      0.0
178  1  0  1  0  0  1  0  1  1  0  0  1  0  0  0  1  1  1  0  1  1  0  0  1  0  1  0  0  0  1  -120.0       1      0.0
